year_added,type,country,total_count
2019,Movie, New Zealand,2
2019,Movie, Norway,2
2019,Movie, Pakistan,2
2019,Movie, Peru,1
2019,Movie, Poland,4
2019,Movie, Portugal,1
2019,Movie, Russia,1
2019,Movie, Senegal,1
2019,Movie, Serbia,1
2019,Movie, Singapore,5
2019,Movie, South Africa,2
2019,Movie, South Korea,3
2019,Movie, Spain,9
2019,Movie, Sweden,6
2019,Movie, Switzerland,2
2019,Movie, Taiwan,2
2019,Movie, Thailand,1
2019,Movie, Turkey,3
2019,Movie, United Arab Emirates,5
2019,Movie, United Kingdom,36
2019,Movie, United States,74
2019,Movie, Uruguay,1
2019,Movie, Vatican City,1
2019,Movie, West Germany,1
2019,Movie,Argentina,8
2019,Movie,Australia,8
2019,Movie,Austria,3
2019,Movie,Bangladesh,2
2019,Movie,Belgium,2
2019,Movie,Brazil,10
2019,Movie,Bulgaria,1
2019,Movie,Canada,40
2019,Movie,Chile,2
2019,Movie,China,10
2019,Movie,Colombia,3
2019,Movie,Denmark,7
2019,Movie,Dominican Republic,1
2019,Movie,Egypt,43
2019,Movie,Finland,1
2019,Movie,France,31
2019,Movie,Germany,17
2019,Movie,Ghana,2
2019,Movie,Hong Kong,17
2019,Movie,Iceland,1
2019,Movie,India,223
2019,Movie,Indonesia,18
2019,Movie,Iran,1
2019,Movie,Ireland,1
2019,Movie,Israel,4
2019,Movie,Italy,9
2019,Movie,Japan,16
2019,Movie,Malaysia,5
2019,Movie,Mexico,14
2019,Movie,Netherlands,4
2019,Movie,New Zealand,2
2019,Movie,Nigeria,31
2019,Movie,Pakistan,6
2019,Movie,Paraguay,1
2019,Movie,Peru,1
2019,Movie,Philippines,41
2019,Movie,Poland,9
2019,Movie,Romania,5
2019,Movie,Singapore,2
2019,Movie,South Africa,5
2019,Movie,South Korea,12
2019,Movie,Spain,30
2019,Movie,Sweden,2
2019,Movie,Switzerland,2
2019,Movie,Taiwan,5
2019,Movie,Thailand,7
2019,Movie,Turkey,15
2019,Movie,United Arab Emirates,3
2019,Movie,United Kingdom,95
2019,Movie,United States,766
2019,Movie,Uruguay,1
2019,Movie,Vietnam,1
2019,TV Show, Australia,2
2019,TV Show, Austria,1
2019,TV Show, Belgium,1
2019,TV Show, Brazil,1
2019,TV Show, Canada,9
2019,TV Show, China,1
2019,TV Show, Colombia,2
2019,TV Show, Czech Republic,2
2019,TV Show, France,4
2019,TV Show, Germany,3
2019,TV Show, Hong Kong,2
2019,TV Show, Japan,7
2019,TV Show, Jordan,1
2019,TV Show, Malta,1
2019,TV Show, Mexico,5
2019,TV Show, Netherlands,1
2019,TV Show, Singapore,2
2019,TV Show, South Africa,2
2019,TV Show, South Korea,2
2019,TV Show, Spain,4
2019,TV Show, Sweden,1
2019,TV Show, Thailand,1
2019,TV Show, United Kingdom,8
2019,TV Show, United States,27
